2017rank,City,State,2017estimate,2010Census,Change,2016_land_area,2016_Population_Density,CityURL,CityInfo
63,Saint Paul,Minnesota,307695,285068,+7.94%,52.0sqmi 134.7km2,"5,815/sqmi 2,245/km2",https://en.wikipedia.org/wiki/Paul_the_Apostle,"Paul the Apostle (Latin: Paulus; Greek: Παῦλος, romanized: Paulos; Coptic: ⲡⲁⲩⲗⲟⲥ; c."
64,St. Louis,Missouri,302838,319294,-5.15%,62.0sqmi 160.6km2,"5,023/sqmi 1,939/km2",https://en.wikipedia.org/wiki/St._Louis,St.
65,Cincinnati,Ohio,302605,296943,+1.91%,77.4sqmi 200.5km2,"3,860/sqmi 1,490/km2",https://en.wikipedia.org/wiki/Cincinnati,"Cincinnati ( SIN-sih-NAT-ee) is a major city in the U.S. state of Ohio, and is the government seat of Hamilton County."
66,Pittsburgh,Pennsylvania,301048,305704,-1.52%,55.4sqmi 143.5km2,"5,481/sqmi 2,116/km2",https://en.wikipedia.org/wiki/Pittsburgh,"Pittsburgh ( PITS-burg) is a city in the Commonwealth of Pennsylvania in the United States, and is the county seat of Allegheny County."
67,Greensboro,North Carolina,294722,269666,+9.29%,128.3sqmi 332.3km2,"2,237/sqmi 864/km2","https://en.wikipedia.org/wiki/Greensboro,_North_Carolina",Greensboro ( (listen); formerly Greensborough) is a city in the U.S. state of North Carolina.
68,Anchorage,Alaska,291538,291826,-0.10%,"1,706.6sqmi 4,420.1km2",175/sqmi 68/km2,"https://en.wikipedia.org/wiki/Anchorage,_Alaska","Anchorage (officially called the Municipality of Anchorage; Dena'ina: Dgheyaytnu) is a unified home rule municipality in the U.S. state of Alaska, located in the West Coast of the United States."
69,Plano,Texas,288061,259841,+10.86%,71.7sqmi 185.7km2,"3,990/sqmi 1,540/km2","https://en.wikipedia.org/wiki/Plano,_Texas","Plano ( PLAY-noh) is a city in the U.S. state of Texas, located approximately twenty miles (32.2 km) north of downtown Dallas."
71,Orlando,Florida,285713,238300,+19.90%,105.2sqmi 272.5km2,"2,635/sqmi 1,017/km2","https://en.wikipedia.org/wiki/Orlando,_Florida",Orlando () is a city in the U.S. state of Florida and the county seat of Orange County.
76,Chula Vista,California,271651,243916,+11.37%,49.6sqmi 128.5km2,"5,387/sqmi 2,080/km2","https://en.wikipedia.org/wiki/Chula_Vista,_California","Chula Vista (; English: beautiful view ) is the second largest city in the San Diego metropolitan area, the seventh largest city in Southern California, the fourteenth largest city in the state of California, and the 74th-largest city in the United States."
77,Fort Wayne,Indiana,267633,253691,+5.50%,110.6sqmi 286.5km2,"2,391/sqmi 923/km2","https://en.wikipedia.org/wiki/Fort_Wayne,_Indiana","Fort Wayne is a city in the U.S. state of Indiana and the seat of Allen County, United States."
78,Jersey City,New Jersey,265549,247597,+7.25%,14.8sqmi 38.3km2,"17,848/sqmi 6,891/km2","https://en.wikipedia.org/wiki/Jersey_City,_New_Jersey","Jersey City is the second most populous city in the U.S. state of New Jersey, after Newark."
79,St. Petersburg,Florida,265098,244769,+8.31%,61.8sqmi 160.1km2,"4,223/sqmi 1,631/km2",https://en.wikipedia.org/wiki/Saint_Petersburg,"Saint Petersburg (Russian: Санкт-Петербу́рг, tr."
84,Lubbock,Texas,255885,229573,+11.46%,124.6sqmi 322.7km2,"2,027/sqmi 783/km2","https://en.wikipedia.org/wiki/Lubbock,_Texas","Lubbock ( LUB-ək)
is the 11th-most populous city in the U.S. state of Texas and the county seat of Lubbock County."
